#Qurey Time, Memory allocation , I/O Time , Total
0 , 0 , 0 , 0
0.03361 , 0.245 , 33.61 , 33.88861
0.034398 , 0.185 , 34.398 , 34.617398
0.034852 , 0.172 , 34.852 , 35.058852
0.035286 , 0.158 , 35.286 , 35.479286
0.035698 , 0.131 , 35.698 , 35.864698
0.036046 , 0.12 , 36.046 , 36.202046
0.03738 , 0.116 , 36.38 , 36.53338
0.036702 , 0.106 , 36.702 , 36.844702
0.036998 , 0.155 , 36.998 , 37.189998
0.037404 , 0.159 , 37.404 , 37.600404
0.038813 , 0.154 , 37.813 , 38.005813
0.038213 , 0.127 , 38.213 , 38.378213
0.03856 , 0.126 , 38.56 , 38.72456
0.0389 , 0.125 , 38.9 , 39.0639
0.040236 , 0.121 , 39.236 , 39.397236
0.039563 , 0.113 , 39.563 , 39.715563
0.039878 , 0.119 , 39.878 , 40.036878
0.041206 , 0.113 , 40.206 , 40.360206
0.040528 , 0.124 , 40.528 , 40.692528
0.04187 , 0.137 , 40.87 , 41.04887
0.041236 , 0.079 , 41.236 , 41.356236
0.041488 , 0.087 , 41.488 , 41.616488
0.041754 , 0.087 , 41.754 , 41.882754
0.04202 , 0.082 , 42.02 , 42.14402
0.04228 , 0.092 , 42.28 , 42.41428
0.042556 , 0.082 , 42.556 , 42.680556
0.042816 , 0.078 , 42.816 , 42.936816
0.044066 , 0.077 , 43.066 , 43.187066
0.043315 , 0.084 , 43.315 , 43.442315
0.04358 , 0.084 , 43.58 , 43.70758
0.043852 , 0.092 , 43.852 , 43.987852
0.044133 , 0.097 , 44.133 , 44.274133
0.044421 , 0.086 , 44.421 , 44.551421
0.044684 , 0.081 , 44.684 , 44.809684
0.044938 , 0.082 , 44.938 , 45.064938
0.04519 , 0.085 , 45.19 , 45.32019
0.045446 , 0.091 , 45.446 , 45.582446
0.04572 , 0.079 , 45.72 , 45.84472
0.045968 , 0.095 , 45.968 , 46.108968
0.046259 , 0.121 , 46.259 , 46.426259
0.0466 , 0.122 , 46.6 , 46.7686
0.046933 , 0.109 , 46.933 , 47.088933
0.047246 , 0.071 , 47.246 , 47.364246
0.047522 , 0.128 , 47.522 , 47.697522
0.047866 , 0.067 , 47.866 , 47.980866
0.049088 , 0.073 , 48.088 , 48.210088
0.048324 , 0.079 , 48.324 , 48.451324
0.048568 , 0.086 , 48.568 , 48.702568
0.04883 , 0.083 , 48.83 , 48.96183
0.049085 , 0.079 , 49.085 , 49.213085
0.04933 , 0.071 , 49.33 , 49.45033
0.04956 , 0.071 , 49.56 , 49.68056
0.049792 , 0.119 , 49.792 , 49.960792
0.050152 , 0.126 , 50.152 , 50.328152
0.050494 , 0.126 , 50.494 , 50.670494
0.050834 , 0.167 , 50.834 , 51.051834
0.052258 , 0.173 , 51.258 , 51.483258
0.0517 , 0.165 , 51.7 , 51.9167
0.05212 , 0.176 , 52.12 , 52.34812
0.053562 , 0.173 , 52.562 , 52.788562
0.05301 , 0.193 , 53.01 , 53.25601
0.053498 , 0.196 , 53.498 , 53.747498
0.054054 , 0.155 , 54.054 , 54.263054
0.055456 , 0.132 , 54.456 , 54.643456
0.054808 , 0.129 , 54.808 , 54.991808
0.055158 , 0.125 , 55.158 , 55.338158
0.055503 , 0.135 , 55.503 , 55.693503
0.056868 , 0.137 , 55.868 , 56.061868
0.056236 , 0.136 , 56.236 , 56.428236
0.057602 , 0.134 , 56.602 , 56.793602
0.056964 , 0.177 , 56.964 , 57.197964
0.058412 , 0.173 , 57.412 , 57.643412
0.057858 , 0.179 , 57.858 , 58.094858
0.058314 , 0.172 , 58.314 , 58.544314
0.058756 , 0.175 , 58.756 , 58.989756
