#Qurey Time, Memory allocation , I/O Time , Total
0 , 0 , 0 , 0
0.019952 , 0.051 , 19.952 , 20.022952
0.020226 , 0.078 , 20.226 , 20.324226
0.020458 , 0.132 , 20.458 , 20.610458
0.020828 , 0.147 , 20.828 , 20.995828
0.021184 , 0.068 , 21.184 , 21.273184
0.021426 , 0.1 , 21.426 , 21.547426
0.02172 , 0.116 , 21.72 , 21.85772
0.022058 , 0.116 , 22.058 , 22.196058
0.022384 , 0.052 , 22.384 , 22.458384
0.022582 , 0.1 , 22.582 , 22.704582
0.02289 , 0.068 , 22.89 , 22.98089
0.023152 , 0.084 , 23.152 , 23.259152
0.023428 , 0.078 , 23.428 , 23.529428
0.02369 , 0.1 , 23.69 , 23.81369
0.023984 , 0.1 , 23.984 , 24.107984
0.02429 , 0.064 , 24.29 , 24.37829
0.02449 , 0.068 , 24.49 , 24.58249
0.02472 , 0.101 , 24.72 , 24.84572
0.025028 , 0.115 , 25.028 , 25.168028
0.025352 , 0.069 , 25.352 , 25.446352
0.025584 , 0.1 , 25.584 , 25.709584
0.02689 , 0.065 , 25.89 , 25.98189
0.02609 , 0.085 , 26.09 , 26.20109
0.026352 , 0.069 , 26.352 , 26.447352
0.04162 , 0.051 , 26.62 , 26.71262
0.026828 , 0.116 , 26.828 , 26.970828
0.027152 , 0.053 , 27.152 , 27.232152
0.027352 , 0.069 , 27.352 , 27.448352
0.02762 , 0.067 , 27.62 , 27.71462
0.027828 , 0.078 , 27.828 , 27.933828
0.028092 , 0.1 , 28.092 , 28.220092
0.028386 , 0.122 , 28.386 , 28.536386
0.028724 , 0.131 , 28.724 , 28.883724
0.029092 , 0.085 , 29.092 , 29.206092
0.029354 , 0.085 , 29.354 , 29.468354
0.029619 , 0.068 , 29.619 , 29.716619
0.029862 , 0.063 , 29.862 , 29.954862
0.030094 , 0.115 , 30.094 , 30.239094
0.030388 , 0.085 , 30.388 , 30.503388
0.030664 , 0.1 , 30.664 , 30.794664
0.030958 , 0.115 , 30.958 , 31.103958
0.031296 , 0.115 , 31.296 , 31.442296
0.031632 , 0.1 , 31.632 , 31.763632
0.031926 , 0.084 , 31.926 , 32.041926
0.032188 , 0.1 , 32.188 , 32.320188
0.032464 , 0.085 , 32.464 , 32.581464
0.032726 , 0.101 , 32.726 , 32.859726
0.033034 , 0.062 , 33.034 , 33.129034
0.033266 , 0.099 , 33.266 , 33.398266
0.033558 , 0.085 , 33.558 , 33.676558
0.033834 , 0.062 , 33.834 , 33.929834
0.034098 , 0.069 , 34.098 , 34.201098
0.034328 , 0.069 , 34.328 , 34.431328
0.03456 , 0.101 , 34.56 , 34.69556
0.034836 , 0.1 , 34.836 , 34.970836
0.03513 , 0.069 , 35.13 , 35.23413
0.03543 , 0.081 , 35.43 , 35.54643
0.0357 , 0.084 , 35.7 , 35.8197
0.035962 , 0.084 , 35.962 , 36.081962
0.036238 , 0.062 , 36.238 , 36.336238
0.036468 , 0.101 , 36.468 , 36.605468
0.036732 , 0.169 , 36.732 , 36.937732
0.037164 , 0.138 , 37.164 , 37.339164
0.037534 , 0.069 , 37.534 , 37.640534
0.037734 , 0.101 , 37.734 , 37.872734
0.038042 , 0.095 , 38.042 , 38.175042
0.038304 , 0.101 , 38.304 , 38.443304
0.038598 , 0.085 , 38.598 , 38.721598
0.038874 , 0.084 , 38.874 , 38.996874
0.039198 , 0.069 , 39.198 , 39.306198
0.039438 , 0.049 , 39.438 , 39.526438
0.039674 , 0.051 , 39.674 , 39.764674
0.039874 , 0.047 , 39.874 , 39.960874
0.040076 , 0.063 , 40.076 , 40.179076
0.040306 , 0.065 , 40.306 , 40.411306
0.040538 , 0.084 , 40.538 , 40.662538
0.0408 , 0.068 , 40.8 , 40.9088
0.040998 , 0.069 , 40.998 , 41.107998
0.041244 , 0.099 , 41.244 , 41.384244
0.041536 , 0.085 , 41.536 , 41.662536
0.0418 , 0.053 , 41.8 , 41.8948
0.042 , 0.053 , 42 , 42.095
0.042244 , 0.047 , 42.244 , 42.333244
0.042442 , 0.047 , 42.442 , 42.531442
0.042632 , 0.051 , 42.632 , 42.725632
0.0428 , 0.053 , 42.8 , 42.8958
0.043036 , 0.05 , 43.036 , 43.129036
0.043274 , 0.063 , 43.274 , 43.380274
0.044506 , 0.067 , 43.506 , 43.617506
0.044706 , 0.066 , 43.706 , 43.816706
0.043904 , 0.064 , 43.904 , 44.011904
0.044106 , 0.047 , 44.106 , 44.197106
0.044306 , 0.047 , 44.306 , 44.397306
0.044474 , 0.063 , 44.474 , 44.581474
0.044674 , 0.063 , 44.674 , 44.781674
0.044874 , 0.047 , 44.874 , 44.965874
0.045072 , 0.047 , 45.072 , 45.164072
0.045242 , 0.062 , 45.242 , 45.349242
0.045442 , 0.047 , 45.442 , 45.534442
0.04564 , 0.047 , 45.64 , 45.73264
0.045833 , 0.035 , 45.833 , 45.913833
0.046032 , 0.036 , 46.032 , 46.114032
0.046198 , 0.053 , 46.198 , 46.297198
0.046398 , 0.053 , 46.398 , 46.497398
0.046568 , 0.069 , 46.568 , 46.683568
0.046768 , 0.053 , 46.768 , 46.867768
0.046968 , 0.038 , 46.968 , 47.052968
0.047138 , 0.053 , 47.138 , 47.238138
0.047338 , 0.051 , 47.338 , 47.436338
0.047506 , 0.047 , 47.506 , 47.600506
0.047706 , 0.047 , 47.706 , 47.800706
0.047876 , 0.047 , 47.876 , 47.970876
0.048076 , 0.047 , 48.076 , 48.171076
0.048244 , 0.047 , 48.244 , 48.339244
0.048437 , 0.035 , 48.437 , 48.520437
0.0486 , 0.053 , 48.6 , 48.7016
0.0488 , 0.054 , 48.8 , 48.9028
0.04897 , 0.053 , 48.97 , 49.07197
0.04917 , 0.054 , 49.17 , 49.27317
0.04934 , 0.053 , 49.34 , 49.44234
0.04954 , 0.053 , 49.54 , 49.64254
0.04974 , 0.054 , 49.74 , 49.84374
0.049942 , 0.05 , 49.942 , 50.041942
0.05011 , 0.047 , 50.11 , 50.20711
0.050278 , 0.063 , 50.278 , 50.391278
0.050478 , 0.047 , 50.478 , 50.575478
0.050648 , 0.047 , 50.648 , 50.745648
0.05085 , 0.062 , 50.85 , 50.96285
0.051082 , 0.046 , 51.082 , 51.179082
0.051282 , 0.047 , 51.282 , 51.380282
0.05148 , 0.047 , 51.48 , 51.57848
0.051682 , 0.047 , 51.682 , 51.780682
0.051852 , 0.047 , 51.852 , 51.950852
0.05205 , 0.047 , 52.05 , 52.14905
0.05224 , 0.069 , 52.24 , 52.36124
0.052452 , 0.047 , 52.452 , 52.551452
0.052644 , 0.036 , 52.644 , 52.732644
0.052808 , 0.053 , 52.808 , 52.913808
0.053008 , 0.038 , 53.008 , 53.099008
0.053178 , 0.069 , 53.178 , 53.300178
0.05341 , 0.069 , 53.41 , 53.53241
0.053654 , 0.047 , 53.654 , 53.754654
0.053844 , 0.036 , 53.844 , 53.933844
0.05401 , 0.053 , 54.01 , 54.11701
0.05421 , 0.038 , 54.21 , 54.30221
0.05441 , 0.038 , 54.41 , 54.50241
0.05458 , 0.053 , 54.58 , 54.68758
0.054778 , 0.054 , 54.778 , 54.886778
0.05498 , 0.053 , 54.98 , 55.08798
0.05518 , 0.053 , 55.18 , 55.28818
0.05538 , 0.053 , 55.38 , 55.48838
0.055548 , 0.054 , 55.548 , 55.657548
0.05575 , 0.053 , 55.75 , 55.85875
0.05598 , 0.069 , 55.98 , 56.10498
0.05618 , 0.053 , 56.18 , 56.28918
0.056412 , 0.037 , 56.412 , 56.505412
0.05658 , 0.054 , 56.58 , 56.69058
0.071812 , 0.038 , 56.812 , 56.921812
0.05698 , 0.054 , 56.98 , 57.09098
0.05718 , 0.069 , 57.18 , 57.30618
0.072412 , 0.038 , 57.412 , 57.522412
0.057582 , 0.053 , 57.582 , 57.692582
0.057812 , 0.038 , 57.812 , 57.907812
0.057982 , 0.053 , 57.982 , 58.092982
0.058182 , 0.054 , 58.182 , 58.294182
0.058352 , 0.085 , 58.352 , 58.495352
0.058584 , 0.053 , 58.584 , 58.695584
0.058784 , 0.053 , 58.784 , 58.895784
0.058984 , 0.053 , 58.984 , 59.095984
0.059154 , 0.069 , 59.154 , 59.282154
0.059354 , 0.084 , 59.354 , 59.497354
0.059584 , 0.053 , 59.584 , 59.696584
0.059784 , 0.054 , 59.784 , 59.897784
0.059986 , 0.052 , 59.986 , 60.097986
0.060184 , 0.054 , 60.184 , 60.298184
0.060354 , 0.053 , 60.354 , 60.467354
0.061554 , 0.053 , 60.554 , 60.668554
0.060724 , 0.047 , 60.724 , 60.831724
0.060924 , 0.047 , 60.924 , 61.031924
0.061094 , 0.047 , 61.094 , 61.202094
0.061262 , 0.063 , 61.262 , 61.386262
0.061462 , 0.047 , 61.462 , 61.570462
0.061662 , 0.047 , 61.662 , 61.770662
0.061862 , 0.048 , 61.862 , 61.971862
0.06202 , 0.053 , 62.02 , 62.13502
0.06222 , 0.053 , 62.22 , 62.33522
0.062388 , 0.069 , 62.388 , 62.519388
0.062588 , 0.116 , 62.588 , 62.766588
0.062864 , 0.062 , 62.864 , 62.988864
0.063096 , 0.062 , 63.096 , 63.221096
0.063296 , 0.081 , 63.296 , 63.440296
0.063528 , 0.065 , 63.528 , 63.656528
0.063728 , 0.1 , 63.728 , 63.891728
0.06402 , 0.053 , 64.02 , 64.13702
0.06419 , 0.053 , 64.19 , 64.30719
0.06439 , 0.1 , 64.39 , 64.55439
0.064666 , 0.078 , 64.666 , 64.808666
0.064898 , 0.047 , 64.898 , 65.009898
0.065098 , 0.047 , 65.098 , 65.210098
0.065266 , 0.063 , 65.266 , 65.394266
0.065466 , 0.063 , 65.466 , 65.594466
0.065666 , 0.063 , 65.666 , 65.794666
0.065868 , 0.062 , 65.868 , 65.995868
0.066066 , 0.082 , 66.066 , 66.214066
0.066298 , 0.063 , 66.298 , 66.427298
0.06653 , 0.1 , 66.53 , 66.69653
0.066792 , 0.072 , 66.792 , 66.930792
0.066998 , 0.097 , 66.998 , 67.161998
0.067266 , 0.063 , 67.266 , 67.396266
0.067466 , 0.062 , 67.466 , 67.595466
0.067666 , 0.047 , 67.666 , 67.780666
0.067864 , 0.063 , 67.864 , 67.994864
0.068098 , 0.084 , 68.098 , 68.250098
0.068328 , 0.085 , 68.328 , 68.481328
0.06856 , 0.069 , 68.56 , 68.69756
0.068762 , 0.084 , 68.762 , 68.914762
0.069024 , 0.069 , 69.024 , 69.162024
0.069256 , 0.053 , 69.256 , 69.378256
0.069462 , 0.066 , 69.462 , 69.597462
0.069668 , 0.079 , 69.668 , 69.816668
0.069902 , 0.062 , 69.902 , 70.033902
0.070132 , 0.047 , 70.132 , 70.249132
0.0703 , 0.064 , 70.3 , 70.4343
0.0705 , 0.063 , 70.5 , 70.6335
0.070732 , 0.065 , 70.732 , 70.867732
0.071932 , 0.065 , 70.932 , 71.068932
0.071134 , 0.084 , 71.134 , 71.289134
0.071396 , 0.084 , 71.396 , 71.551396
0.071667 , 0.064 , 71.667 , 71.802667
0.07187 , 0.063 , 71.87 , 72.00487
0.07207 , 0.047 , 72.07 , 72.18907
0.072266 , 0.049 , 72.266 , 72.387266
0.072426 , 0.084 , 72.426 , 72.582426
0.07267 , 0.047 , 72.67 , 72.78967
0.072872 , 0.062 , 72.872 , 73.006872
0.07307 , 0.047 , 73.07 , 73.19007
0.073268 , 0.047 , 73.268 , 73.388268
0.073426 , 0.069 , 73.426 , 73.568426
0.073658 , 0.068 , 73.658 , 73.799658
0.07387 , 0.063 , 73.87 , 74.00687
0.07407 , 0.063 , 74.07 , 74.20707
0.074272 , 0.063 , 74.272 , 74.409272
0.074472 , 0.062 , 74.472 , 74.608472
0.074704 , 0.046 , 74.704 , 74.824704
0.074872 , 0.063 , 74.872 , 75.009872
0.075072 , 0.047 , 75.072 , 75.194072
0.075228 , 0.1 , 75.228 , 75.403228
0.075504 , 0.1 , 75.504 , 75.679504
0.075766 , 0.116 , 75.766 , 75.957766
0.076072 , 0.148 , 76.072 , 76.296072
0.07643 , 0.121 , 76.43 , 76.62743
0.076736 , 0.116 , 76.736 , 76.928736
0.07703 , 0.1 , 77.03 , 77.20703
0.077306 , 0.1 , 77.306 , 77.483306
0.077568 , 0.1 , 77.568 , 77.745568
0.077832 , 0.137 , 77.832 , 78.046832
0.07817 , 0.131 , 78.17 , 78.37917
0.078508 , 0.132 , 78.508 , 78.718508
0.078834 , 0.1 , 78.834 , 79.012834
0.079108 , 0.116 , 79.108 , 79.303108
0.079434 , 0.168 , 79.434 , 79.681434
0.079866 , 0.121 , 79.866 , 80.066866
0.080172 , 0.115 , 80.172 , 80.367172
0.080478 , 0.132 , 80.478 , 80.690478
0.080834 , 0.1 , 80.834 , 81.014834
0.08111 , 0.1 , 81.11 , 81.29111
0.081372 , 0.101 , 81.372 , 81.554372
0.081636 , 0.1 , 81.636 , 81.817636
0.08191 , 0.101 , 81.91 , 82.09291
0.082174 , 0.1 , 82.174 , 82.356174
0.082438 , 0.137 , 82.438 , 82.657438
0.082774 , 0.116 , 82.774 , 82.972774
0.083078 , 0.08 , 83.078 , 83.241078
0.083314 , 0.116 , 83.314 , 83.513314
0.083608 , 0.115 , 83.608 , 83.806608
0.083882 , 0.116 , 83.882 , 84.081882
0.084176 , 0.116 , 84.176 , 84.376176
0.084482 , 0.116 , 84.482 , 84.682482
0.084776 , 0.116 , 84.776 , 84.976776
0.085082 , 0.132 , 85.082 , 85.299082
0.085424 , 0.168 , 85.424 , 85.677424
0.08584 , 0.137 , 85.84 , 86.06284
0.086176 , 0.132 , 86.176 , 86.394176
0.086516 , 0.131 , 86.516 , 86.733516
0.086882 , 0.164 , 86.882 , 87.132882
0.087284 , 0.1 , 87.284 , 87.471284
0.087546 , 0.1 , 87.546 , 87.733546
0.08781 , 0.137 , 87.81 , 88.03481
0.088178 , 0.084 , 88.178 , 88.350178
0.08841 , 0.099 , 88.41 , 88.59741
